"t","N"
0,987
60,1798.43125598543
120,3276.95540274097
180,5971.00204737558
240,10879.8750876933
300,19824.4249431862
360,36122.4573959102
420,65819.4087373931
480,119930.782090991
540,218528.132793533
600,398184.21917733
660,725538.951781828
720,1322018.16445729
780,2408874.15191538
840,4389254.87997976
900,7997743.8365169
960,14572839.4052248
1020,26553444.6553317
1080,48383530.7216088
1140,88160540.9571151
1200,160638979.130557
1260,292703303.949326
1320,533340193.062485
1380,971809192.783058
1440,1770751800.56233
1500,3226520146.62997
1560,5879103019.01321
1620,10712424140.3766
1680,19519309423.9373
1740,35566500671.9959
1800,64806389538.5452
1860,118084940763.614
1920,215164790608.381
1980,392055810149.618
2040,714372262475.952
2100,1301671129934.93
2160,2371799437780
2220,4321700346334.57
2280,7874651450710.41
2340,14348550454861.8
2400,26144763542155.5
2460,47638865181926
2520,86803671877256
2580,158166602470477
2640,288198339955349
2700,525131613473975
2760,956852185590334
2820,1743498356558892
2880,3176861133935916
2940,5788618398374551
3000,10547550411964644
3060,19218889903707464
3120,35019100616180632
3180,63808961605509680
3240,116267508574795088
3300,211853213248699168
3360,386021722783594944
3420,703377438443122560
3480,1281637254357733376
3540,2335295336446085632
3600,4255185537002697216
3660,7753453566122411008
3720,14127713510786500608
3780,25742372394535120896
3840,46905660706735824896
3900,85467686218481827840
3960,1.55732277884573e+20
4020,2.8376271136112e+20
4080,5.17049371220882e+20
4140,9.42125380031655e+20
4200,1.71666436728073e+21
4260,3.12796641758271e+21
4320,5.69952641646761e+21
4380,1.0385214236768e+22
4440,1.8923094106898e+22
4500,3.44801255337378e+22
4560,6.28268849748486e+22
4620,1.14478048282644e+23
4680,2.08592604007818e+23
4740,3.80080505385055e+23
4800,6.92551834524036e+23
4860,1.26191171793119e+24
4920,2.2993530656755e+24
4980,4.18969444970289e+24
